class,precision,recall,f1_score,support
normal,0.9333333333333333,0.7,0.8,20
noise,1.0,1.0,1.0,60
blur,0.9818181818181818,0.9,0.9391304347826087,60
low_contrast,0.8923076923076924,0.9666666666666667,0.928,60
mixed,0.9294117647058824,0.9875,0.9575757575757575,80
