experiment,target_degradation,samples,full_dice,ablated_dice,full_iou,ablated_iou,full_precision,ablated_precision,full_recall,ablated_recall,full_specificity,ablated_specificity,full_pixel_accuracy,ablated_pixel_accuracy,full_hausdorff_distance,ablated_hausdorff_distance,full_hausdorff_95,ablated_hausdorff_95,dice_contribution,iou_contribution,hd_reduction,hd95_reduction
remove_recognition,all,280,0.605853682754888,0.3670115176861346,0.45035013735537427,0.22836493392281548,0.5946296030415935,0.31612608117547975,0.6755306508764377,0.5758426399207099,0.8945892234539606,0.7392016532854396,0.8661825246748033,0.7181005870417412,49.616251910613755,52.47290810429801,17.406392225265744,22.380991366369024,0.23884216506875344,0.2219852034325588,2.856656193684252,4.97459914110328
remove_denoising,noise,60,0.4858744840835546,0.4556379964213606,0.33388788566835687,0.3090334380430991,0.4318162636234639,0.3517943904528421,0.666506058666706,0.7709530665237218,0.8056996203946416,0.712487541317705,0.7873330975119682,0.7196031754675916,49.25046956257927,43.690308126728006,18.910513586129415,16.06130507506741,0.030236487662194,0.02485444762525779,-5.560161435851263,-2.849208511062006
remove_contrast_enhancement,low_contrast,60,0.7120703211154578,0.5991471474350772,0.5547339643721731,0.43541462075874093,0.7114959636171553,0.5288258457228413,0.7258450046187351,0.7616662139683704,0.9544965297490754,0.8707671874067295,0.9249058695160925,0.8564457201804653,47.81930470463918,45.56516742819155,14.30614671369392,15.70231611652397,0.11292317368038052,0.11931934361343222,-2.2541372764476293,1.3961694028300506
remove_sharpening,blur,60,0.714301464643702,0.3137561270681541,0.5569888115349924,0.18716999093093484,0.7268122372042788,0.22023812116181218,0.7109919555498326,0.6511095989196883,0.9604334280479282,0.6172838490105889,0.9281747219647858,0.6213256965307995,50.843958901400775,45.802151488136566,16.40359058829555,18.636044865191987,0.40054533757554794,0.3698188206040575,-5.041807413264209,2.232454276896437
