experiment,target_degradation,image_id,sample_key,full_dice,ablated_dice,full_iou,ablated_iou,full_precision,ablated_precision,full_recall,ablated_recall,full_specificity,ablated_specificity,full_pixel_accuracy,ablated_pixel_accuracy,full_hausdorff_distance,ablated_hausdorff_distance,full_hausdorff_95,ablated_hausdorff_95,dice_contribution,iou_contribution,hd_reduction,hd95_reduction
remove_recognition,all,01_test,01_test_blur_k3,0.7844093799414594,0.4514795531252453,0.6452907475574992,0.29155543540702195,0.7762868748751415,0.3669147352753562,0.7927036583707331,0.5866993064055488,0.9655374041494628,0.8472854102018311,0.9428818461785299,0.8131270139096253,42.20189569201838,38.01315561749642,4.0,14.035668847618199,0.33292982681621414,0.3537353121504772,-4.188740074521959,10.035668847618199
remove_recognition,all,01_test,01_test_blur_k5,0.7833259934279616,0.4242468971794777,0.6438256995684255,0.26923437207269096,0.780496860865456,0.3323696636792907,0.7861757105943152,0.5863253093975248,0.9666452953094146,0.8223270843484728,0.9429888090134015,0.7913912745067453,45.0111097397076,37.12142238654117,4.242640687119285,14.317821063276353,0.3590790962484839,0.37459132749573454,-7.88968735316643,10.075180376157068
remove_recognition,all,01_test,01_test_blur_k7,0.766542372881356,0.38867087527725647,0.6214582130980845,0.24121135112240577,0.7642625388671083,0.28313964327885155,0.7688358493132055,0.6196110431116552,0.9642243479598902,0.7633421383325212,0.9386122463532358,0.7445014417698784,46.0,45.221676218380054,9.433981132056603,15.0,0.3778714976040995,0.3802468619756787,-0.778323781619946,5.566018867943397
remove_recognition,all,01_test,01_test_lowcontrast_alpha04,0.776706926736105,0.2718558044301049,0.6349311900080953,0.15731083385692488,0.8092641043593618,0.17609822756320084,0.7466680266557868,0.5958792329661363,0.9734516451670813,0.5794219475290436,0.9437241785031443,0.5815792171211844,45.880278987817846,39.56008088970496,6.708203932499369,15.811388300841896,0.5048511223060002,0.4776203561511704,-6.320198098112883,9.103184368342527
remove_recognition,all,01_test,01_test_lowcontrast_alpha06,0.7863659010084698,0.30924842173171746,0.6479431499674415,0.18290588972772615,0.7947907622851189,0.19974403238287994,0.7781177750577996,0.684516523867809,0.9696919959992819,0.5862795886441156,0.9445798811821176,0.5991567763184283,45.0111097397076,36.71511950137164,4.242640687119285,15.811388300841896,0.47711747927675235,0.46503726023971537,-8.29599023833596,11.56874761372261
remove_recognition,all,01_test,01_test_lowcontrast_alpha08,0.7865462769304018,0.41895364623739334,0.64818811131975,0.2649850494518132,0.7867469469673776,0.3255406525506744,0.7863457092343261,0.5875492996056032,0.9678455107326956,0.8163619111122509,0.9440539805773319,0.7863684780525633,45.0111097397076,30.265491900843113,3.605551275463989,14.142135623730951,0.36759263069300846,0.38320306186793673,-14.745617838864487,10.536584348266961
remove_recognition,all,01_test,01_test_mixed_blur5_contrast06,0.7721481481481481,0.29759169950251785,0.6288610038610039,0.17480630199908848,0.7921539176769302,0.19168054875061244,0.7531279749762002,0.6650686794505644,0.9701895211961121,0.5769035467904495,0.9417364524884457,0.5884604928312617,45.48626166217664,37.44329045369811,7.211102550927978,15.652475842498529,0.4745564486456303,0.4540547018619154,-8.042971208478527,8.44137329157055
remove_recognition,all,01_test,01_test_mixed_noise15_blur5,0.590574981108745,0.42250311554210435,0.4190183750060925,0.26783134705669914,0.596682398667407,0.3245446091570483,0.5845913232694139,0.6051611587107303,0.9403893006437053,0.8099966660682687,0.8937502506941443,0.7831462226520544,37.013511046643494,37.0,14.993303437365535,14.317821063276353,0.1680718655666406,0.15118702794939337,-0.013511046643493785,-0.6754823740891815
remove_recognition,all,01_test,01_test_mixed_noise15_blur5_contrast06,0.35401965417773507,0.2954409095959409,0.21508133743898455,0.17332394708939527,0.2328046297288608,0.18886668623867112,0.7385760913912689,0.6780565755473956,0.6328212756135717,0.5606903803246737,0.6466839292797391,0.5760750879100799,38.948684188300895,45.221676218380054,16.0,16.0,0.058578744581794184,0.04175739034958928,6.272992030079159,0.0
remove_recognition,all,01_test,01_test_mixed_noise15_contrast06,0.5744324494635424,0.3151320912957527,0.40295000348975174,0.18703667490355727,0.5606811045288271,0.20207044904544233,0.588875288997688,0.715422276621787,0.9303926345754366,0.5738209422203985,0.8856255320286839,0.5923824634432228,39.11521443121589,34.36568055487916,14.422205101855956,16.0,0.25930035816778974,0.21591332858619447,-4.749533876336727,1.5777948981440435
remove_recognition,all,01_test,01_test_noise_sigma15,0.5444571719485809,0.5598084021796449,0.374057816407548,0.3887041161932078,0.43510720533789005,0.7912422360248447,0.7272201822385421,0.43312253501971987,0.8575693073115688,0.9827610083861206,0.8404827589280541,0.9107127735908761,33.0,110.13627921806692,14.317821063276353,41.97618372363071,-0.015351230231063995,-0.014646299785659844,77.13627921806692,27.658362660354356
remove_recognition,all,01_test,01_test_noise_sigma30,0.33463703606729067,0.3890946835153743,0.2009394007880747,0.2415378976862963,0.22034610577130295,0.27023452070739806,0.6952604379164967,0.6946144430844553,0.6288821070448543,0.7170210037699074,0.6375831747460747,0.7140838856032481,39.21734310225516,38.48376280978771,16.1245154965971,15.0,-0.054457647448083624,-0.04059849689822159,-0.7335802924674439,-1.1245154965970983
remove_recognition,all,01_test,01_test_noise_sigma5,0.7526211873638344,0.5533692379458038,0.6033621701279916,0.3825227918975171,0.753544648943422,0.7351549295774648,0.7516999864001088,0.4436624507003944,0.9629112917703178,0.9758879798938271,0.935225089915633,0.906122285260967,45.0111097397076,64.38167441127949,6.708203932499369,32.202484376209235,0.1992519494180306,0.22083937823047456,19.37056467157189,25.494280443709865
remove_recognition,all,01_test,01_test_normal,0.7883601506333447,0.5494112699747687,0.6506555153707052,0.37875054355703724,0.793849972421401,0.7199140401146131,0.7829457364341085,0.4442064463484292,0.9693278280717051,0.9739286538609494,0.9448963129019463,0.9044911020291742,42.20189569201838,81.83520025025906,3.1622776601683795,28.106904889404625,0.238948880658576,0.27190497181366796,39.63330455824068,24.944627229236247
remove_recognition,all,02_test,02_test_blur_k3,0.7897766227140101,0.4937516001999488,0.652587478920742,0.3278022404973127,0.8541522968685336,0.4192513147542341,0.7344245766983958,0.6004507309551345,0.9779007545828892,0.8534259317321963,0.941422649908702,0.8155246637966653,43.266615305567875,46.57252408878007,8.94427190999916,15.620499351813308,0.29602502251406126,0.32478523842342927,3.305908783212196,6.676227441814149
remove_recognition,all,02_test,02_test_blur_k5,0.7906116461509025,0.4666360926393029,0.6537285096508807,0.30432181845371614,0.8551029558859035,0.3803951623455521,0.7351659105061827,0.6034457195385938,0.9780470725946364,0.8267856023076441,0.9416581144179806,0.7933243590256212,43.266615305567875,46.57252408878007,9.465692241125648,15.297058540778355,0.3239755535115996,0.34940669119716455,3.305908783212196,5.831366299652707
remove_recognition,all,02_test,02_test_blur_k7,0.7872720886419516,0.4351942027164295,0.6491745438268517,0.2781138742404369,0.8527895956556328,0.33639307107009875,0.7311034012395101,0.6161670076802183,0.9777596622144186,0.7857956564453085,0.9408051109126693,0.7603815413595632,36.49657518178932,36.49657518178932,12.727922061357855,15.811388300841896,0.35207788592552214,0.3710606695864148,0.0,3.083466239484041
