image_id,noise_sigma,h,strategy,dice
26_training,5,10.0,nlm_h10,0.34930815019662065
26_training,5,12.0,nlm_h12,0.285366831115349
26_training,5,14.0,nlm_h14,0.2759070460776746
26_training,15,0.0,identity,0.31330413653207945
26_training,15,3.0,nlm_h3,0.3120187097142205
26_training,15,5.0,nlm_h5,0.3242833127538345
26_training,15,7.0,nlm_h7,0.4234389066208364
26_training,15,10.0,nlm_h10,0.32272595175820984
26_training,15,12.0,nlm_h12,0.32520869259345053
26_training,15,14.0,nlm_h14,0.27790880503144655
26_training,30,0.0,identity,0.27702908798491527
26_training,30,3.0,nlm_h3,0.2784251314696928
26_training,30,5.0,nlm_h5,0.2784251314696928
26_training,30,7.0,nlm_h7,0.278309210891144
26_training,30,10.0,nlm_h10,0.27772586402780486
26_training,30,12.0,nlm_h12,0.3024426362512111
26_training,30,14.0,nlm_h14,0.2895765772797911
27_training,5,0.0,identity,0.6771772040776107
27_training,5,3.0,nlm_h3,0.5304669070191836
27_training,5,5.0,nlm_h5,0.44941316583107627
27_training,5,7.0,nlm_h7,0.42222099304902555
27_training,5,10.0,nlm_h10,0.36880070447604596
27_training,5,12.0,nlm_h12,0.3454640172657587
27_training,5,14.0,nlm_h14,0.2927517521209886
27_training,15,0.0,identity,0.39812359389210666
27_training,15,3.0,nlm_h3,0.40057676194929953
27_training,15,5.0,nlm_h5,0.5057903785642456
27_training,15,7.0,nlm_h7,0.4464378768703938
27_training,15,10.0,nlm_h10,0.37676597197200995
27_training,15,12.0,nlm_h12,0.3482367995182718
27_training,15,14.0,nlm_h14,0.29831819256357434
27_training,30,0.0,identity,0.30072011794057607
27_training,30,3.0,nlm_h3,0.301117060888684
27_training,30,5.0,nlm_h5,0.3021552091319533
27_training,30,7.0,nlm_h7,0.3145708827839109
27_training,30,10.0,nlm_h10,0.35716501928106026
27_training,30,12.0,nlm_h12,0.37031272669717874
27_training,30,14.0,nlm_h14,0.31632552936789843
28_training,5,0.0,identity,0.6912674459322006
28_training,5,3.0,nlm_h3,0.6077564278166947
28_training,5,5.0,nlm_h5,0.5277760419921265
28_training,5,7.0,nlm_h7,0.5001821304053703
28_training,5,10.0,nlm_h10,0.4587482710926694
28_training,5,12.0,nlm_h12,0.42561133673204876
28_training,5,14.0,nlm_h14,0.3499964833309889
28_training,15,0.0,identity,0.4337067380036783
28_training,15,3.0,nlm_h3,0.43524319292529673
28_training,15,5.0,nlm_h5,0.5887223521294132
28_training,15,7.0,nlm_h7,0.5177020475077609
28_training,15,10.0,nlm_h10,0.4647806903711394
28_training,15,12.0,nlm_h12,0.43308096333901314
28_training,15,14.0,nlm_h14,0.35383232764154576
28_training,30,0.0,identity,0.329586129753915
28_training,30,3.0,nlm_h3,0.3291320717949432
28_training,30,5.0,nlm_h5,0.32941864838884943
28_training,30,7.0,nlm_h7,0.3388627668584446
28_training,30,10.0,nlm_h10,0.40340265873144227
28_training,30,12.0,nlm_h12,0.4248948062551027
28_training,30,14.0,nlm_h14,0.3712435207776047
29_training,5,0.0,identity,0.49076370430508137
29_training,5,3.0,nlm_h3,0.6250488107162866
29_training,5,5.0,nlm_h5,0.5538071602069913
29_training,5,7.0,nlm_h7,0.41778694461836885
29_training,5,10.0,nlm_h10,0.34392194117879904
29_training,5,12.0,nlm_h12,0.3221553399881678
29_training,5,14.0,nlm_h14,0.31581174176577176
29_training,15,0.0,identity,0.3238408361628967
29_training,15,3.0,nlm_h3,0.32290942452282484
29_training,15,5.0,nlm_h5,0.377906346049539
29_training,15,7.0,nlm_h7,0.48889692367953236
29_training,15,10.0,nlm_h10,0.39769698002507514
29_training,15,12.0,nlm_h12,0.3394814378314673
29_training,15,14.0,nlm_h14,0.3228881433230844
29_training,30,0.0,identity,0.2857749993145239
29_training,30,3.0,nlm_h3,0.28705591597157865
29_training,30,5.0,nlm_h5,0.28702654830803453
29_training,30,7.0,nlm_h7,0.2874574680276898
29_training,30,10.0,nlm_h10,0.30175250220500827
29_training,30,12.0,nlm_h12,0.33587683035196847
29_training,30,14.0,nlm_h14,0.31631129427223315
30_training,5,0.0,identity,0.4133723717902941
30_training,5,3.0,nlm_h3,0.5765201506170078
30_training,5,5.0,nlm_h5,0.3712265187655949
30_training,5,7.0,nlm_h7,0.3178816186457372
30_training,5,10.0,nlm_h10,0.2884204153769541
30_training,5,12.0,nlm_h12,0.25065430866618743
30_training,5,14.0,nlm_h14,0.24168600673436808
30_training,15,0.0,identity,0.2885114599349233
30_training,15,3.0,nlm_h3,0.28911987914973203
30_training,15,5.0,nlm_h5,0.2944382573550562
30_training,15,7.0,nlm_h7,0.3196048943878597
30_training,15,10.0,nlm_h10,0.2902981365447449
30_training,15,12.0,nlm_h12,0.27761929020207166
30_training,15,14.0,nlm_h14,0.24634076466298574
30_training,30,0.0,identity,0.25402614461282635
30_training,30,3.0,nlm_h3,0.25089089816509913
30_training,30,5.0,nlm_h5,0.25089089816509913
30_training,30,7.0,nlm_h7,0.2506776961126792
30_training,30,10.0,nlm_h10,0.2505917061689926
30_training,30,12.0,nlm_h12,0.2665163822923549
30_training,30,14.0,nlm_h14,0.25976897297221657
31_training,5,0.0,identity,0.604741068014784
31_training,5,3.0,nlm_h3,0.5634765900935266
31_training,5,5.0,nlm_h5,0.49054916224435036
31_training,5,7.0,nlm_h7,0.4230531732418525
31_training,5,10.0,nlm_h10,0.3889989765476994
31_training,5,12.0,nlm_h12,0.3524864050317762
31_training,5,14.0,nlm_h14,0.3219529772092604
31_training,15,0.0,identity,0.3193331731723367
31_training,15,3.0,nlm_h3,0.3200557868267016
31_training,15,5.0,nlm_h5,0.5348983021091968
31_training,15,7.0,nlm_h7,0.46123205187586847
31_training,15,10.0,nlm_h10,0.40470650217324494
31_training,15,12.0,nlm_h12,0.3724745821878955
31_training,15,14.0,nlm_h14,0.3484419894425017
31_training,30,0.0,identity,0.23760808577687254
31_training,30,3.0,nlm_h3,0.23696397611250242
31_training,30,5.0,nlm_h5,0.2364678934341804
31_training,30,7.0,nlm_h7,0.24390561326164584
31_training,30,10.0,nlm_h10,0.2889733840304182
31_training,30,12.0,nlm_h12,0.30709192272786207
31_training,30,14.0,nlm_h14,0.3153542843691149
32_training,5,0.0,identity,0.5009412737040269
32_training,5,3.0,nlm_h3,0.6419353077161112
32_training,5,5.0,nlm_h5,0.5625714553462656
32_training,5,7.0,nlm_h7,0.3551013500808544
32_training,5,10.0,nlm_h10,0.2788820704375667
32_training,5,12.0,nlm_h12,0.26646629284149065
32_training,5,14.0,nlm_h14,0.25849826957563243
32_training,15,0.0,identity,0.3289195703276103
32_training,15,3.0,nlm_h3,0.33052135184700027
32_training,15,5.0,nlm_h5,0.519182066829713
32_training,15,7.0,nlm_h7,0.5169393911692111
32_training,15,10.0,nlm_h10,0.3249634089694038
32_training,15,12.0,nlm_h12,0.27357755771257275
32_training,15,14.0,nlm_h14,0.26599034691580076
32_training,30,0.0,identity,0.29121749348592446
32_training,30,3.0,nlm_h3,0.2894392414635565
32_training,30,5.0,nlm_h5,0.2894191399460375
32_training,30,7.0,nlm_h7,0.300401129104145
32_training,30,10.0,nlm_h10,0.3056819738504391
32_training,30,12.0,nlm_h12,0.290607427679545
32_training,30,14.0,nlm_h14,0.2651606332746968
33_training,5,0.0,identity,0.6885990649075319
33_training,5,3.0,nlm_h3,0.5656704400132619
33_training,5,5.0,nlm_h5,0.4785504221610853
33_training,5,7.0,nlm_h7,0.4589257503949447
33_training,5,10.0,nlm_h10,0.33676429192113283
33_training,5,12.0,nlm_h12,0.2953293329122364
33_training,5,14.0,nlm_h14,0.268509172950187
33_training,15,0.0,identity,0.37840142499810503
33_training,15,3.0,nlm_h3,0.3848301850330934
33_training,15,5.0,nlm_h5,0.5399158165085254
33_training,15,7.0,nlm_h7,0.4671181398261959
33_training,15,10.0,nlm_h10,0.42387440189088954
33_training,15,12.0,nlm_h12,0.3001409758278032
33_training,15,14.0,nlm_h14,0.2727901709308338
33_training,30,0.0,identity,0.2893771306407812
33_training,30,3.0,nlm_h3,0.2902322755188403
33_training,30,5.0,nlm_h5,0.28980679546968685
33_training,30,7.0,nlm_h7,0.3050656267373561
33_training,30,10.0,nlm_h10,0.36798441617967226
33_training,30,12.0,nlm_h12,0.31997358864311654
33_training,30,14.0,nlm_h14,0.2786398953545722
34_training,5,0.0,identity,0.5744176040322085
34_training,5,3.0,nlm_h3,0.5969126853902156
34_training,5,5.0,nlm_h5,0.5379588017636134
34_training,5,7.0,nlm_h7,0.5052802819765472
34_training,5,10.0,nlm_h10,0.4855863460135338
34_training,5,12.0,nlm_h12,0.4131703220599623
34_training,5,14.0,nlm_h14,0.3779338556589501
34_training,15,0.0,identity,0.42882050313060954
34_training,15,3.0,nlm_h3,0.4268888546006275
34_training,15,5.0,nlm_h5,0.4426651415498999
34_training,15,7.0,nlm_h7,0.44504596776160166
34_training,15,10.0,nlm_h10,0.4725655920491149
34_training,15,12.0,nlm_h12,0.46421725707095096
34_training,15,14.0,nlm_h14,0.3859849227424213
34_training,30,0.0,identity,0.3413983590132416
34_training,30,3.0,nlm_h3,0.3415399599588767
34_training,30,5.0,nlm_h5,0.3421755530635131
34_training,30,7.0,nlm_h7,0.3375193677790906
34_training,30,10.0,nlm_h10,0.3356737600452556
34_training,30,12.0,nlm_h12,0.3476249166548805
34_training,30,14.0,nlm_h14,0.37385543229441803
35_training,5,0.0,identity,0.7144189048660666
35_training,5,3.0,nlm_h3,0.6420759346280202
35_training,5,5.0,nlm_h5,0.5518312411026272
35_training,5,7.0,nlm_h7,0.5130940297130202
35_training,5,10.0,nlm_h10,0.4636284950890001
35_training,5,12.0,nlm_h12,0.3472314809203483
35_training,5,14.0,nlm_h14,0.33329720675895363
35_training,15,0.0,identity,0.430483672968328
35_training,15,3.0,nlm_h3,0.42653593366993175
35_training,15,5.0,nlm_h5,0.5479694410936872
35_training,15,7.0,nlm_h7,0.5263327716631413
35_training,15,10.0,nlm_h10,0.47097085935176924
35_training,15,12.0,nlm_h12,0.3696506937926486
35_training,15,14.0,nlm_h14,0.3294340271804576
35_training,30,0.0,identity,0.31159288443505156
35_training,30,3.0,nlm_h3,0.3133770074600256
35_training,30,5.0,nlm_h5,0.3136314372618257
35_training,30,7.0,nlm_h7,0.3179414824632662
35_training,30,10.0,nlm_h10,0.3457169792324519
35_training,30,12.0,nlm_h12,0.3864609594576664
35_training,30,14.0,nlm_h14,0.34069282793331235
36_training,5,0.0,identity,0.700929889298893
36_training,5,3.0,nlm_h3,0.6046593344811835
36_training,5,5.0,nlm_h5,0.5475918159867836
36_training,5,7.0,nlm_h7,0.501627836803405
36_training,5,10.0,nlm_h10,0.4524737777922777
36_training,5,12.0,nlm_h12,0.4012120361271
36_training,5,14.0,nlm_h14,0.3795880100587931
36_training,15,0.0,identity,0.45041250391617643
36_training,15,3.0,nlm_h3,0.4492589954306166
36_training,15,5.0,nlm_h5,0.560056878380639
36_training,15,7.0,nlm_h7,0.5326512772363777
36_training,15,10.0,nlm_h10,0.46231673916545835
36_training,15,12.0,nlm_h12,0.4282274856845393
36_training,15,14.0,nlm_h14,0.37160363707819005
36_training,30,0.0,identity,0.35533287724522783
36_training,30,3.0,nlm_h3,0.3535323442372242
36_training,30,5.0,nlm_h5,0.35324747595198347
36_training,30,7.0,nlm_h7,0.35795316424925044
36_training,30,10.0,nlm_h10,0.40434740106818806
36_training,30,12.0,nlm_h12,0.4276326368713886
36_training,30,14.0,nlm_h14,0.39566939623781017
37_training,5,0.0,identity,0.6876168183485597
37_training,5,3.0,nlm_h3,0.6375900942524487
37_training,5,5.0,nlm_h5,0.5492692549089931
37_training,5,7.0,nlm_h7,0.4969035682689472
37_training,5,10.0,nlm_h10,0.45873092488768424
37_training,5,12.0,nlm_h12,0.4433536940081443
37_training,5,14.0,nlm_h14,0.3631374050673304
37_training,15,0.0,identity,0.4290419250511824
37_training,15,3.0,nlm_h3,0.43122169260892784
37_training,15,5.0,nlm_h5,0.5818441981963994
37_training,15,7.0,nlm_h7,0.5593973774760532
37_training,15,10.0,nlm_h10,0.4748813921653196
37_training,15,12.0,nlm_h12,0.4533553123382722
37_training,15,14.0,nlm_h14,0.43701492537313436
37_training,30,0.0,identity,0.3146500655491759
37_training,30,3.0,nlm_h3,0.31802145479577787
37_training,30,5.0,nlm_h5,0.3180178047503246
37_training,30,7.0,nlm_h7,0.31695614555699364
37_training,30,10.0,nlm_h10,0.3881781879916788
37_training,30,12.0,nlm_h12,0.4012895983710336
37_training,30,14.0,nlm_h14,0.4082646935641491
38_training,5,0.0,identity,0.7021470836855452
38_training,5,3.0,nlm_h3,0.6052891080233079
38_training,5,5.0,nlm_h5,0.5291273736649571
38_training,5,7.0,nlm_h7,0.473979877531114
38_training,5,10.0,nlm_h10,0.3278265774840841
38_training,5,12.0,nlm_h12,0.30156043808572347
38_training,5,14.0,nlm_h14,0.2739756600280947
38_training,15,0.0,identity,0.4002749518834204
38_training,15,3.0,nlm_h3,0.40297613010888506
38_training,15,5.0,nlm_h5,0.5479924668048808
38_training,15,7.0,nlm_h7,0.5097778322449623
38_training,15,10.0,nlm_h10,0.3306867507019137
38_training,15,12.0,nlm_h12,0.3197733768885259
38_training,15,14.0,nlm_h14,0.2756695287744046
38_training,30,0.0,identity,0.3037974683544304
38_training,30,3.0,nlm_h3,0.30572725858240096
38_training,30,5.0,nlm_h5,0.30554632542684435
38_training,30,7.0,nlm_h7,0.3152132184702323
38_training,30,10.0,nlm_h10,0.36497385066420385
38_training,30,12.0,nlm_h12,0.3022209587434704
38_training,30,14.0,nlm_h14,0.29277491902805625
39_training,5,0.0,identity,0.6690435958093951
39_training,5,3.0,nlm_h3,0.5750212478479744
39_training,5,5.0,nlm_h5,0.4948218876239442
39_training,5,7.0,nlm_h7,0.46375687491186013
39_training,5,10.0,nlm_h10,0.32258955196406874
39_training,5,12.0,nlm_h12,0.29121620597109976
39_training,5,14.0,nlm_h14,0.28508330749275834
39_training,15,0.0,identity,0.3799281870360587
39_training,15,3.0,nlm_h3,0.38054247926473883
39_training,15,5.0,nlm_h5,0.5288870731624281
39_training,15,7.0,nlm_h7,0.49273182137776544
39_training,15,10.0,nlm_h10,0.4186479864729632
39_training,15,12.0,nlm_h12,0.31170138355767096
39_training,15,14.0,nlm_h14,0.284614777108477
39_training,30,0.0,identity,0.2913168793373629
39_training,30,3.0,nlm_h3,0.2912958571627842
39_training,30,5.0,nlm_h5,0.2913198490165845
39_training,30,7.0,nlm_h7,0.29289276279542853
39_training,30,10.0,nlm_h10,0.3189709719080185
39_training,30,12.0,nlm_h12,0.3413473705522093
39_training,30,14.0,nlm_h14,0.2892971548334186
40_training,5,0.0,identity,0.5107930236222381
40_training,5,3.0,nlm_h3,0.632513685561955
40_training,5,5.0,nlm_h5,0.5556027086370094
40_training,5,7.0,nlm_h7,0.4039334341906203
40_training,5,10.0,nlm_h10,0.3307807285161449
40_training,5,12.0,nlm_h12,0.32159403140731235
40_training,5,14.0,nlm_h14,0.2845568113234066
40_training,15,0.0,identity,0.31217945397088537
40_training,15,3.0,nlm_h3,0.31373017175771867
40_training,15,5.0,nlm_h5,0.3521948832657626
40_training,15,7.0,nlm_h7,0.49745622427749175
40_training,15,10.0,nlm_h10,0.34571176806654336
40_training,15,12.0,nlm_h12,0.3282886647498775
40_training,15,14.0,nlm_h14,0.30806511976047907
40_training,30,0.0,identity,0.2725713106060067
40_training,30,3.0,nlm_h3,0.27164213039276985
40_training,30,5.0,nlm_h5,0.27164213039276985
40_training,30,7.0,nlm_h7,0.270532428580545
40_training,30,10.0,nlm_h10,0.27764236810896153
40_training,30,12.0,nlm_h12,0.3144311845047278
40_training,30,14.0,nlm_h14,0.2975709172852598
