split,degradation_type,group,samples,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std,entropy_mean,entropy_std,contrast_std_mean,contrast_std_std,dice_mean,dice_std,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,pixel_accuracy_mean,pixel_accuracy_std,hausdorff_distance_mean,hausdorff_distance_std,hausdorff_95_mean,hausdorff_95_std
test,all,adaptive_enhancement,280,164.59426017505226,182.95363509052294,31.71420340005225,17.30311857880639,0.8565331566866565,0.11551290218577069,5.808927577954973,0.41905540920852835,0.06778956842459524,0.01738047280678134,0.605853682754888,0.15162210711612498,0.4503501373553743,0.1461423988909593,0.5946296030415935,0.2083809612503906,0.6755306508764377,0.09579397728853536,0.8945892234539605,0.12352150008445781,0.8661825246748033,0.10661146910433146,49.616251910613755,11.654019715998306,17.406392225265744,5.9621966327013265
test,all,fixed_enhancement,280,249.53448138342242,479.1118955400135,26.237799062842626,3.285236988020807,0.7622803233544844,0.16075935816305165,5.920402705436555,0.5692933104811738,0.07405575501037223,0.0305347700374881,0.3670115176861346,0.08727816008489427,0.22836493392281543,0.0680476704295341,0.3161260811754798,0.17616676007143792,0.5758426399207098,0.10300976351928035,0.7392016532854396,0.1532832164114117,0.7181005870417412,0.12306230715770027,52.47290810429801,20.51097234306809,22.38099136636902,10.603074945368833
test,all,no_enhancement,280,182.50129590031284,236.92160499899774,34.15591907549413,19.37658100376117,0.7837662428026589,0.26167862675309356,5.582467288463772,0.7266045901884872,0.06480677310763251,0.028331867405149553,0.5349012640080225,0.1561838859509974,0.3805017118843982,0.1454231869088615,0.468981199352951,0.2231328903814524,0.7481019829446802,0.07502020561801101,0.8007279400182985,0.16459924208451113,0.7935427850964385,0.13798850924943595,47.54694724113783,11.044644861665489,17.196808551924466,3.54136204788812
test,blur,adaptive_enhancement,60,180.73395947724447,221.7774391573343,26.964927957286537,2.8011109527341054,0.8985516620939885,0.01372470937375515,6.206173281943677,0.2383195738116454,0.08247369617084571,0.013085851444713893,0.714301464643702,0.039148858832955935,0.5569888115349924,0.04730639414603347,0.7268122372042788,0.0669211774753578,0.7109919555498326,0.06449835371492435,0.9604334280479282,0.012412559606363612,0.9281747219647858,0.009647704577545997,50.843958901400775,11.301350297274071,16.40359058829555,5.673804449534702
test,blur,fixed_enhancement,60,127.19831446791571,31.414929877690746,27.207953882803988,1.0233051545544378,0.8094023317698921,0.017140521080030426,6.124678846667509,0.25845523769759066,0.07944732491624035,0.013385386442667327,0.3883238608764748,0.05363863766995028,0.24230462699818553,0.04160231743837686,0.3213545836678795,0.11413062599560997,0.549136451081027,0.07794078461125835,0.8076944035113642,0.07231187736725514,0.77442453324978,0.05642641110304567,48.230607637026566,14.354181589875209,19.83599163675974,7.784334629802141
test,blur,no_enhancement,60,11.873672160147162,6.6586350792563165,38.04887256176057,2.4511864446009572,0.9457035550047054,0.01994288113974086,5.6667260818919605,0.35819503019923676,0.06725405370032508,0.015669268002397426,0.6798631134232916,0.041917665697436934,0.5165289287477038,0.04919963971387481,0.6818574379521826,0.10687905050126126,0.6983189163265163,0.07347488778579117,0.9485292156922599,0.026170003007700997,0.9161276828427962,0.01657097079869759,51.41614420470371,12.823314907149014,17.281484231208985,4.6317967621036
test,low_contrast,adaptive_enhancement,60,287.76610482708594,163.1094749156766,24.25462844769037,2.6056931351560078,0.9337601620590971,0.03582814504583503,5.751304113619988,0.36363592433632647,0.06084227723221307,0.014672408397614873,0.7120703211154578,0.0449735409093723,0.5547339643721731,0.0540598620126291,0.7114959636171553,0.09241630890609222,0.7258450046187351,0.05898460929381167,0.9544965297490754,0.023580890683599497,0.9249058695160925,0.017244819764329965,47.81930470463918,7.640043763620743,14.30614671369392,3.8485075106569124
test,low_contrast,fixed_enhancement,60,166.3720260894277,113.4040643520298,26.831260786283313,2.8246792096896933,0.8049211109620474,0.02485689053041225,5.4319916578791885,0.4598613661748038,0.0531349769278389,0.016044285479015888,0.3111061723444161,0.06295202080507403,0.18588595444586678,0.045843197829101526,0.22147483840522497,0.0918471600321489,0.6055367965342574,0.07313256384241,0.645814796747184,0.12347658195140508,0.6405725804908283,0.1011254723980648,46.641827669542884,12.490942276732923,19.24188678362706,4.726027196744109
test,low_contrast,no_enhancement,60,223.80340962179787,174.84429049069357,26.240020109484803,4.060944303409814,0.9491020446604072,0.037231969292600406,4.8809279223320035,0.5145686593715413,0.04255586985200425,0.015135590592072472,0.5918136391131398,0.10928639475772504,0.4284631677025687,0.10756531092567177,0.5140870962803831,0.16583634761721755,0.7660834688482209,0.06985021009922787,0.8640651984147739,0.09586881992197216,0.851062870295415,0.0774518306058514,45.35284921205059,8.618214944493594,15.775106094587283,3.3876885864510164
test,mixed,adaptive_enhancement,80,130.76145765142056,96.71705235821648,28.48843959828313,4.045488813714374,0.8673675933915922,0.04030571070212146,5.452361452483473,0.3267856898464058,0.05439716235390122,0.012925043058716496,0.5108527466908629,0.1474709016145092,0.3564029693930643,0.13713382618237532,0.4928405641494627,0.21491425491230395,0.6173387110817924,0.10884124426197572,0.8496635308366038,0.1470999185567765,0.8196048412336381,0.12198737159086723,49.4822404157769,12.406934909899622,19.569204901974093,6.898764579980914
test,mixed,fixed_enhancement,80,134.86078925706565,53.10650186301844,27.209431111911925,1.9112288593269096,0.7985142424868668,0.019485889001375326,5.637824626091136,0.385173376095576,0.05902419112897013,0.015596511830793256,0.3148629252427468,0.05903215872564969,0.18834032903508344,0.04319873832977739,0.2191075967734662,0.08308193372188684,0.6380837748937193,0.06706506329302372,0.6292825107463182,0.1185447939184112,0.6301624441860769,0.096947808312926,46.35786384373757,11.41111871041925,19.10913282134853,5.010535486240183
test,mixed,no_enhancement,80,177.6621282387899,103.24318037279278,26.973819371303364,4.043845714408482,0.7630017036567033,0.15774598990642405,5.330820805315691,0.5027302094739294,0.05133533758262663,0.015680643580118832,0.41405832666931824,0.10102351055179581,0.2665918389663332,0.08793136615809526,0.29272150309582406,0.11712153860567709,0.798663927065018,0.04880663562083732,0.6719492434609524,0.1296513428481823,0.6876795728765382,0.1092719372165531,45.41431306356471,9.189436365935663,17.971766716353102,2.53643846646433
test,noise,adaptive_enhancement,60,69.63018455345656,57.522638928627515,30.85962701190424,3.061497390009868,0.687673534590571,0.12917671404621267,5.919446524535218,0.3132341699959622,0.07492066434916622,0.013276261155136337,0.4858744840835546,0.14806846361919485,0.33388788566835687,0.13560006469564037,0.4318162636234639,0.21876357798393595,0.666506058666706,0.09718236708479658,0.8056996203946416,0.14789712875499147,0.7873330975119682,0.12423516899726314,49.25046956257927,12.99183242247528,18.910513586129415,5.364414208132203
test,noise,fixed_enhancement,60,651.3205445592118,926.0353627855744,22.958824753352715,4.761325603917022,0.6026714782276338,0.2958632936855932,6.503882171162212,0.5264605128832394,0.1064788895262627,0.04132589362394506,0.4427894601165438,0.08451905347392802,0.28811890227372405,0.07077798690842325,0.47398918304628557,0.2160795016417756,0.5226991835101269,0.12678355132365374,0.8575547703137566,0.12785128437766294,0.8144697134794997,0.09726085165939136,65.11466511232915,28.60864609103203,29.420800966882798,15.129431496364997
test,noise,no_enhancement,60,379.1127947677951,372.2556843095336,25.80697051932277,6.4374255767298605,0.4121012618716916,0.2780789500673559,6.487826990715306,0.5416934003008513,0.10054275012909614,0.02906738533402204,0.4398808039563818,0.15730127960419887,0.2960919984226853,0.1430120940344279,0.3548499434006583,0.2155334857978842,0.7381684732268992,0.0570596334106156,0.7071174186431554,0.1700216574012159,0.7105284357856596,0.14463034014097967,46.841643290252044,10.77711576783606,17.486564729457466,3.0401135811179327
test,normal,adaptive_enhancement,20,166.88306527168857,353.4947469201376,83.80753895695551,33.22963907441385,0.9620377438158523,0.07829038039917358,5.884768521139084,0.39270896947834055,0.07675539527205344,0.012645893657633437,0.7018017622768383,0.04601935617372832,0.542458060676416,0.05533004851568541,0.743078792649764,0.0877821418939562,0.6780452114371378,0.07718016988411744,0.9637062704340975,0.021073982536936025,0.9268949135341517,0.01461308608077338,52.95736557962723,15.00411981549046,16.551918881467373,5.258453466202438
