image_id,split,degradation_type,predicted_degradation,group,reference_image_path,evaluated_image_path,prediction_mask_path,mse,psnr,ssim,entropy,contrast_std,dice,iou,precision,recall,specificity,pixel_accuracy,hausdorff_distance,hausdorff_95
21_training,train,noise,noise,fixed_enhancement,C:/Users/20804/Desktop/math/mathclass/data/raw/DRIVE/training/images/21_training.tif,C:/Users/20804/Desktop/math/mathclass/data/processed/enhanced/fixed/train/noise/21_training_noise_sigma30_fixed.png,C:/Users/20804/Desktop/math/mathclass/data/processed/segmentation/fixed_enhancement/train/noise/21_training_noise_sigma30_fixed_enhancement_mask.png,636.6286170212766,20.091942042217962,0.2882113142166722,6.823039447087469,0.11691772135328948,0.3918502906048413,0.24366530573339476,0.2859699822876853,0.6222312373225152,0.8094202537944762,0.7889671985815603,46.87216658103186,17.11724276862369
21_training,train,noise,noise,adaptive_enhancement,C:/Users/20804/Desktop/math/mathclass/data/raw/DRIVE/training/images/21_training.tif,C:/Users/20804/Desktop/math/mathclass/data/processed/enhanced/adaptive/train/noise/21_training_noise_sigma30_adaptive_components-100.png,C:/Users/20804/Desktop/math/mathclass/data/processed/segmentation/adaptive_enhancement/train/noise/21_training_noise_sigma30_adaptive_enhancement_mask.png,49.61589095744681,31.17459566437558,0.7748452167193911,5.80684595641846,0.07471385724031165,0.29934940047299596,0.17602051859226872,0.1935871648079601,0.6598377281947262,0.6628315501368499,0.6625044326241135,46.87216658103186,18.439088914585774
21_training,train,blur,blur,no_enhancement,C:/Users/20804/Desktop/math/mathclass/data/raw/DRIVE/training/images/21_training.tif,C:/Users/20804/Desktop/math/mathclass/data/processed/degraded/train/blur/21_training_blur_k3.png,C:/Users/20804/Desktop/math/mathclass/data/processed/segmentation/no_enhancement/train/blur/21_training_blur_k3_no_enhancement_mask.png,6.604317375886525,39.932524253982514,0.9680978272595492,5.813585519408251,0.07564668192688423,0.7274414990069942,0.5716369804919423,0.7773830395866015,0.6835294117647058,0.9759890520029858,0.9440336879432624,81.04936767180853,19.4164878389476
21_training,train,blur,blur,fixed_enhancement,C:/Users/20804/Desktop/math/mathclass/data/raw/DRIVE/training/images/21_training.tif,C:/Users/20804/Desktop/math/mathclass/data/processed/enhanced/fixed/train/blur/21_training_blur_k3_fixed.png,C:/Users/20804/Desktop/math/mathclass/data/processed/segmentation/fixed_enhancement/train/blur/21_training_blur_k3_fixed_enhancement_mask.png,113.80036790780142,27.56936694766066,0.8192090636763623,6.1461512379850936,0.08344186073616644,0.4548720159287312,0.29439115763743123,0.4603814351601778,0.44949290060851926,0.9353719830803683,0.8822828014184397,46.87216658103186,18.027756377319946
21_training,train,blur,blur,adaptive_enhancement,C:/Users/20804/Desktop/math/mathclass/data/raw/DRIVE/training/images/21_training.tif,C:/Users/20804/Desktop/math/mathclass/data/processed/enhanced/adaptive/train/blur/21_training_blur_k3_adaptive_components-010.png,C:/Users/20804/Desktop/math/mathclass/data/processed/segmentation/adaptive_enhancement/train/blur/21_training_blur_k3_adaptive_enhancement_mask.png,103.10579343971631,27.997972922069838,0.9007503072807413,6.277680223309151,0.0895675800565394,0.7490397184514832,0.5987717831650697,0.742691924227318,0.7554969574036511,0.9678925105747699,0.9446852836879432,58.7962583843564,13.341664064126334
21_training,train,blur,blur,no_enhancement,C:/Users/20804/Desktop/math/mathclass/data/raw/DRIVE/training/images/21_training.tif,C:/Users/20804/Desktop/math/mathclass/data/processed/degraded/train/blur/21_training_blur_k5.png,C:/Users/20804/Desktop/math/mathclass/data/processed/segmentation/no_enhancement/train/blur/21_training_blur_k5_no_enhancement_mask.png,13.450837765957447,36.843310262840056,0.9471126419963307,5.7977028236288985,0.07439217099295821,0.7223598973957654,0.5653860550583591,0.7781472461596104,0.6740365111561866,0.9764269718835531,0.943386524822695,81.02468759581859,21.02379604162864
21_training,train,blur,blur,fixed_enhancement,C:/Users/20804/Desktop/math/mathclass/data/raw/DRIVE/training/images/21_training.tif,C:/Users/20804/Desktop/math/mathclass/data/processed/enhanced/fixed/train/blur/21_training_blur_k5_fixed.png,C:/Users/20804/Desktop/math/mathclass/data/processed/segmentation/fixed_enhancement/train/blur/21_training_blur_k5_fixed_enhancement_mask.png,116.96420656028369,27.450273817853574,0.8126179936663779,6.1420684181375735,0.08177021512150393,0.3708848451173774,0.22766030013642566,0.28200253485424587,0.5415821501014199,0.8308534461308783,0.7992464539007093,46.87216658103186,17.26267650163207
21_training,train,blur,blur,adaptive_enhancement,C:/Users/20804/Desktop/math/mathclass/data/raw/DRIVE/training/images/21_training.tif,C:/Users/20804/Desktop/math/mathclass/data/processed/enhanced/adaptive/train/blur/21_training_blur_k5_adaptive_components-010.png,C:/Users/20804/Desktop/math/mathclass/data/processed/segmentation/adaptive_enhancement/train/blur/21_training_blur_k5_adaptive_enhancement_mask.png,100.37810726950354,28.114413585053363,0.9075371026180122,6.234958963784113,0.08680057938155183,0.7488180385501273,0.5984885185544037,0.7458943809370472,0.7517647058823529,0.968584224931575,0.9448936170212766,60.207972893961475,15.0
21_training,train,blur,blur,no_enhancement,C:/Users/20804/Desktop/math/mathclass/data/raw/DRIVE/training/images/21_training.tif,C:/Users/20804/Desktop/math/mathclass/data/processed/degraded/train/blur/21_training_blur_k7.png,C:/Users/20804/Desktop/math/mathclass/data/processed/segmentation/no_enhancement/train/blur/21_training_blur_k7_no_enhancement_mask.png,24.068989361702126,34.31622505900345,0.9210425060975833,5.779601021046089,0.07310456461561196,0.7051446802853725,0.5445741076622976,0.7768502245655146,0.6455578093306288,0.9772530480218959,0.9410106382978723,98.2700361249552,25.495097567963924
21_training,train,blur,blur,fixed_enhancement,C:/Users/20804/Desktop/math/mathclass/data/raw/DRIVE/training/images/21_training.tif,C:/Users/20804/Desktop/math/mathclass/data/processed/enhanced/fixed/train/blur/21_training_blur_k7_fixed.png,C:/Users/20804/Desktop/math/mathclass/data/processed/segmentation/fixed_enhancement/train/blur/21_training_blur_k7_fixed_enhancement_mask.png,126.11134308510638,27.123262099195905,0.8021931859460902,6.1240994181005854,0.07979288683011146,0.3415073064613492,0.20591426648536543,0.23740676811984354,0.6081947261663286,0.7603533217218214,0.7437278368794327,46.87216658103186,18.027756377319946
