noise_sigma,baseline,samples,adaptive_dice,baseline_dice,delta_dice,delta_dice_ci_low,delta_dice_ci_high,delta_dice_wilcoxon_p,adaptive_iou,baseline_iou,delta_iou,delta_iou_ci_low,delta_iou_ci_high,delta_iou_wilcoxon_p,adaptive_precision,baseline_precision,delta_precision,delta_precision_ci_low,delta_precision_ci_high,delta_precision_wilcoxon_p,adaptive_recall,baseline_recall,delta_recall,delta_recall_ci_low,delta_recall_ci_high,delta_recall_wilcoxon_p,adaptive_hausdorff_distance,baseline_hausdorff_distance,delta_hausdorff_distance,delta_hausdorff_distance_ci_low,delta_hausdorff_distance_ci_high,delta_hausdorff_distance_wilcoxon_p,adaptive_hausdorff_95,baseline_hausdorff_95,delta_hausdorff_95,delta_hausdorff_95_ci_low,delta_hausdorff_95_ci_high,delta_hausdorff_95_wilcoxon_p,adaptive_psnr,baseline_psnr,delta_psnr,delta_psnr_ci_low,delta_psnr_ci_high,delta_psnr_wilcoxon_p,adaptive_ssim,baseline_ssim,delta_ssim,delta_ssim_ci_low,delta_ssim_ci_high,delta_ssim_wilcoxon_p
5,no_enhancement,20,0.643525668691449,0.6367030606133117,0.006822608078137335,0.0,0.020172388865300282,0.17971249487899976,0.4805402322619792,0.4738399508436387,0.006700281418340434,0.0,0.01972288162307478,0.17971249487899976,0.6254424542391701,0.6177496545558961,0.007692799683274218,-0.0036464007062264546,0.026724799756049113,0.6547208460185769,0.7075621789470825,0.7072966056724863,0.0002655732745962258,-0.005363984674329502,0.00616070449811818,0.6547208460185769,50.88438199855061,51.00479762210669,-0.12041562355608022,-0.3612468706682407,0.0,0.31731050786291415,16.068268581992513,16.274152534799036,-0.20588395280652075,-0.5552984368525619,0.0,0.17971249487899976,33.19244429043456,34.14791480151739,-0.9554705110828312,-2.3990573370899564,0.0,0.17971249487899976,0.7675479178143925,0.7850089775055185,-0.017461059691125918,-0.04376933853290248,0.0,0.17971249487899976
5,fixed_enhancement,20,0.643525668691449,0.4577850497499057,0.18574061894154342,0.14908920645697432,0.2180345574601093,3.814697265625e-06,0.4805402322619792,0.2995240211322994,0.18101621112967983,0.14423501091607355,0.21334442214958543,3.814697265625e-06,0.6254424542391701,0.5073133311018393,0.11812912313733115,0.046072952581979514,0.19190934177135957,0.0042209625244140625,0.7075621789470825,0.47577024660416545,0.23179193234291717,0.19564110442197,0.26649208068013763,1.9073486328125e-06,50.88438199855061,65.66506725776617,-14.780685259215556,-28.511580995820896,-2.9222141997899262,0.02772031386394524,16.068268581992513,30.233894315306554,-14.165625733314036,-20.375624494688772,-8.182894704414997,8.20159912109375e-05,33.19244429043456,27.191844507753395,6.000599782681168,4.900678744356142,6.887921995026348,9.5367431640625e-06,0.7675479178143925,0.8258926238839205,-0.058344706069527984,-0.08774465704324734,-0.03565106645178469,1.9073486328125e-06
15,no_enhancement,20,0.4818091211766383,0.3807833777586994,0.10102574341793888,0.0787960211758827,0.12218873942944211,1.9073486328125e-06,0.321168336897398,0.23622523978185983,0.08494309711553819,0.06467998008869631,0.10467994133034281,1.9073486328125e-06,0.4396450975604342,0.25682201527599663,0.18282308228443758,0.1185542761999384,0.25499024604938697,3.814697265625e-06,0.640599402784219,0.7624995151774114,-0.12190011239319239,-0.16274718853127804,-0.08228964627507425,5.7220458984375e-06,51.20028114486901,44.527266265926194,6.673014878942803,1.5740030301280363,12.955671652963243,0.041389404009149304,21.698140429820803,17.82164483340184,3.876495596418959,1.0293754456810271,7.28547087576768,0.1230926513671875,30.335778257595564,24.627183288271844,5.708594969323717,4.619573188008943,6.769991605234116,1.9073486328125e-06,0.6512858239254101,0.3236069305713334,0.32767889335407674,0.26496392577374306,0.3840622838813083,1.9073486328125e-06
15,fixed_enhancement,20,0.4818091211766383,0.4966393417611072,-0.01483022058446901,-0.06401145888683561,0.029998941440215057,0.8694877624511719,0.321168336897398,0.33334008324442027,-0.012171746347022236,-0.05511943982677891,0.02692113775682801,0.8983173370361328,0.4396450975604342,0.6447491263378486,-0.20510402877741435,-0.29968912125194536,-0.10902464712498032,0.0023250579833984375,0.640599402784219,0.4402914271441004,0.20030797564011857,0.1505709562908183,0.2503920427396131,3.814697265625e-06,51.20028114486901,84.73533258314524,-33.53505143827623,-44.88329191707815,-22.726717738042097,0.00019643672621231134,21.698140429820803,40.170347981532046,-18.472207551711247,-24.449335782878254,-12.582209482969835,0.00021367000439069728,30.335778257595564,24.64379031691585,5.691987940679717,5.126168286866489,6.228194132504467,1.9073486328125e-06,0.6512858239254101,0.7878725586205075,-0.1365867346950975,-0.1943893667736171,-0.08090094575881839,0.0001049041748046875
30,no_enhancement,20,0.33228866238257665,0.3021559734971343,0.030132688885442356,0.017775852315192704,0.042886196430990016,0.0002613067626953125,0.19995508784569316,0.17821080464255729,0.021744283203135855,0.01279105890629246,0.03119320456821987,0.0002613067626953125,0.23036123907078737,0.18997816037008197,0.040383078700705406,0.022470827412480247,0.06058939602756422,0.0002613067626953125,0.6513565942688172,0.7447092988307995,-0.09335270456198226,-0.13144667668162555,-0.057535488209303924,0.000133514404296875,45.66674554431823,44.99286598272326,0.6738795615949613,-0.12462497113197983,1.6795219970597615,0.13801073756865956,18.965131746574933,18.363896820171526,0.6012349264034061,0.3780684868303851,0.8072006234949175,0.0006240699797532012,29.050658487682586,18.645813468179092,10.404845019503494,9.426675970713182,11.288027870964786,1.9073486328125e-06,0.6441868620319106,0.12768787753822297,0.5164989844936876,0.45784631379248375,0.5683533372555554,1.9073486328125e-06
30,fixed_enhancement,20,0.33228866238257665,0.37394398883861857,-0.04165532645604188,-0.0630107997887834,-0.022365999201786394,0.0005855560302734375,0.19995508784569316,0.23149260244445222,-0.031537514598759094,-0.04829829455832674,-0.016709294435527072,0.0005855560302734375,0.23036123907078737,0.26990509169916904,-0.03954385262838163,-0.06842122827705362,-0.014371804522786647,0.00485992431640625,0.6513565942688172,0.6520358767821146,-0.0006792825132974189,-0.04036945137885761,0.04008711560443377,0.956329345703125,45.66674554431823,44.943595496076085,0.7231500482421371,-0.18898954274094598,1.979598845243934,0.17629637444051116,18.965131746574933,17.858160603809807,1.106971142765122,0.7485512950688455,1.5026679574257022,2.6702880859375e-05,29.050658487682586,17.04083943538891,12.009819052293675,11.490802807297287,12.509264182591716,1.9073486328125e-06,0.6441868620319106,0.19424925217847325,0.44993760985343734,0.4172617236799974,0.47854299042240234,1.9073486328125e-06
